radius_cm,jrad_re_N0,jrad_im_N0,jrad_re_N1,jrad_im_N1,jrad_re_N2,jrad_im_N2,jrad_re_N3,jrad_im_N3,jrad_re_N4,jrad_im_N4,jrad_re_N5,jrad_im_N5,jrad_re_N6,jrad_im_N6
  3.6690815802679985E+01, -4.0472117674996488E+07,  2.3238550883604713E+07, -4.5431141150973871E+07,  2.5105261258841868E+07, -4.5667832024103090E+07,  2.5234962407719128E+07, -4.5680073945810750E+07,  2.5242522717619304E+07, -4.5680631687939085E+07,  2.5242880618656497E+07, -4.5680653419631749E+07,  2.5242894742140412E+07, -4.5680654139564596E+07,  2.5242895212357633E+07
  3.6799999999999997E+01,  5.5530275266912729E+06,  7.2658823003534973E+05,  5.2656046672333404E+05,  2.6426833900811411E+06,  2.8558821082108840E+05,  2.7762883888726905E+06,  2.7312622805926949E+05,  2.7840803810639754E+06,  2.7255873138919845E+05,  2.7844492860368304E+06,  2.7253663961291686E+05,  2.7844638296634033E+06,  2.7253590741102770E+05,  2.7844643138790801E+06
  3.6909184197320009E+01,  5.1023958323771037E+07, -2.1717353754751742E+07,  4.6154973936048150E+07, -1.9875487704958834E+07,  4.5926907843906015E+07, -1.9748650723136082E+07,  4.5915258527787060E+07, -1.9741297416054577E+07,  4.5914730722885467E+07, -1.9740950171767265E+07,  4.5914710218451902E+07, -1.9740936499103434E+07,  4.5914709538709305E+07, -1.9740936043827347E+07
  3.7018368394640014E+01,  9.3522454627226591E+07, -4.2527196538936615E+07,  8.9023391431573555E+07, -4.0876663774005577E+07,  8.8824271240639701E+07, -4.0766649990685336E+07,  8.8814393476306230E+07, -4.0760365547119297E+07,  8.8813951214086905E+07, -4.0760070655168012E+07,  8.8813934102015600E+07, -4.0760059066189632E+07,  8.8813933534792557E+07, -4.0760058680209450E+07
  3.7127552591960026E+01,  1.3084143224694815E+08, -6.0267928231024273E+07,  1.2689739082704993E+08, -5.8910167088395499E+07,  1.2674080931292580E+08, -5.8825568878458276E+07,  1.2673350662031212E+08, -5.8820888864434771E+07,  1.2673318818372388E+08, -5.8820672364690505E+07,  1.2673317596955565E+08, -5.8820663887859836E+07,  1.2673317556501204E+08, -5.8820663605429515E+07
  3.7236736789280030E+01,  1.6113458861418000E+08, -7.3747207003414124E+07,  1.5789074663119623E+08, -7.2760163254990429E+07,  1.5778676064735487E+08, -7.2707390907368094E+07,  1.5778261316296384E+08, -7.2704710107500896E+07,  1.5778244595423198E+08, -7.2704591115557969E+07,  1.5778243971303439E+08, -7.2704586505255550E+07,  1.5778243950705826E+08, -7.2704586351536870E+07
  3.7345920986600042E+01,  1.8303799589405501E+08, -8.2106885738870978E+07,  1.8059029316709250E+08, -8.1539161754105464E+07,  1.8054463605798227E+08, -8.1521912311577603E+07,  1.8054395183944464E+08, -8.1521450794716284E+07,  1.8054395001310515E+08, -8.1521439832614213E+07,  1.8054395029588935E+08, -8.1521439503158316E+07,  1.8054395030696440E+08, -8.1521439492020637E+07
  3.7455105183920054E+01,  1.9575446172018290E+08, -8.4886988002386257E+07,  1.9414428377396542E+08, -8.4754445778570548E+07,  1.9415794449195775E+08, -8.4773405060992986E+07,  1.9416073429616731E+08, -8.4775189402893722E+07,  1.9416089754208425E+08, -8.4775287477749065E+07,  1.9416090432773155E+08, -8.4775291466977537E+07,  1.9416090455531558E+08, -8.4775291599778250E+07
  3.7564289381240059E+01,  1.9909452250556916E+08, -8.2056990845554784E+07,  1.9830777416992679E+08, -8.2342078116271302E+07,  1.9837697704080552E+08, -8.2394880922815710E+07,  1.9838295470299259E+08, -8.2398742198485151E+07,  1.9838326828415918E+08, -8.2398940709010661E+07,  1.9838328098102278E+08, -8.2398948674590752E+07,  1.9838328140557721E+08, -8.2398948940042228E+07
  3.7673473578560071E+01,  1.9347146529255539E+08, -7.4012024523910418E+07,  1.9344205749407178E+08, -7.4665862037116066E+07,  1.9355864235034880E+08, -7.4747313326188907E+07,  1.9356725068648058E+08, -7.4752902036133289E+07,  1.9356768672798890E+08, -7.4753183515395835E+07,  1.9356770422504109E+08, -7.4753194764197037E+07,  1.9356770480971053E+08, -7.4753195139332160E+07
  3.7782657775880082E+01,  1.7985149509090966E+08, -6.1534548065517768E+07,  1.8046889928590146E+08, -6.2481582425150961E+07,  1.8062106755921143E+08, -6.2584119855815545E+07,  1.8063152751749736E+08, -6.2590936488177776E+07,  1.8063204743496871E+08, -6.2591276118589558E+07,  1.8063206819808370E+08, -6.2591289666594326E+07,  1.8063206889187980E+08, -6.2591290118747927E+07
  3.7891841973200087E+01,  1.5966376425329676E+08, -4.5724951597271666E+07,  1.6078395135324615E+08, -4.6869761758912407E+07,  1.6095731261230722E+08, -4.6984119272964135E+07,  1.6096869140045655E+08, -4.6991557853530407E+07,  1.6096924925778133E+08, -4.6991925623223931E+07,  1.6096927146283740E+08, -4.6991940280809477E+07,  1.6096927220505407E+08, -4.6991940770444520E+07
  3.8001026170520099E+01,  1.3467815869657019E+08, -2.7907125473961025E+07,  1.3613696144708267E+08, -2.9142790529725187E+07,  1.3631578944946417E+08, -2.9258805439105660E+07,  1.3632708173474234E+08, -2.9266206299805768E+07,  1.3632762824066806E+08, -2.9266569613982849E+07,  1.3632764993197134E+08, -2.9266584089208908E+07,  1.3632765065744841E+08, -2.9266584573343828E+07
  3.8110210367840111E+01,  1.0686122959795982E+08, -9.5171029192181006E+06,  1.0848897263312490E+08, -1.0734409552474387E+07,  1.0865756239919600E+08, -1.0841903351238459E+07,  1.0866777755842708E+08, -1.0848610551734909E+07,  1.0866826435629040E+08, -1.0848937073098689E+07,  1.0866828361662436E+08, -1.0848950084074475E+07,  1.0866828426140666E+08, -1.0848950520015776E+07
